hotel,date,room_type,capacity,occupied,adr,room_revenue,fnb_revenue,spa_revenue,other_revenue,total_revenue,rooms_cost,fnb_cost,spa_cost,other_cost,total_cost,channel,occupancy_rate,revpar,gop,goppar
Hôtel des Îles,2024-09-22,Single,10,4,48.88,195.52,37.46,0.32,243.98,477.28,53.74,10.96,0.08,86.62,151.4,Direct,0.4,19.552,325.88,32.588
Hôtel des Îles,2024-09-22,Double,30,14,83.25,1165.5,126.37,34.16,141.21,1467.24,312.09,36.64,10.35,67.46,426.54,Direct,0.4666666666666667,38.85,1040.7,34.690000000000005
Hôtel des Îles,2024-09-22,Deluxe,15,7,145.82,1020.74,140.89,9.97,149.04,1320.64,158.38,60.85,2.51,74.33,296.07,Direct,0.4666666666666667,68.04933333333334,1024.5700000000002,68.30466666666668
Hôtel des Îles,2024-09-22,Suite,5,2,266.85,533.7,36.13,8.37,59.05,637.25,106.1,11.84,2.13,32.4,152.47,OTA,0.4,106.74000000000001,484.78,96.95599999999999
Hôtel des Îles,2024-09-23,Single,10,4,48.69,194.76,38.13,12.02,64.81,309.72,39.69,10.42,4.48,31.56,86.15,Direct,0.4,19.476,223.57000000000002,22.357000000000003
Hôtel des Îles,2024-09-23,Double,30,9,75.65,680.85,154.85,25.72,73.92,935.34,174.97,62.27,8.03,39.27,284.54,OTA,0.3,22.695,650.8,21.69333333333333
Hôtel des Îles,2024-09-23,Deluxe,15,7,111.62,781.34,118.54,56.73,99.86,1056.47,165.3,47.55,13.94,32.26,259.05,Direct,0.4666666666666667,52.089333333333336,797.4200000000001,53.16133333333334
Hôtel des Îles,2024-09-23,Suite,5,1,280.53,280.53,64.1,12.1,211.49,568.22,79.79,20.1,2.69,77.91,180.49,OTA,0.2,56.105999999999995,387.73,77.546
Hôtel des Îles,2024-09-24,Single,10,6,33.45,200.7,23.59,15.14,114.64,354.07,45.72,9.21,4.13,67.81,126.87,Agency,0.6,20.07,227.2,22.72
Hôtel des Îles,2024-09-24,Double,30,12,89.68,1076.16,64.89,23.99,231.65,1396.69,200.1,18.1,7.15,137.99,363.34,Direct,0.4,35.872,1033.3500000000001,34.44500000000001
Hôtel des Îles,2024-09-24,Deluxe,15,8,123.96,991.68,174.99,50.26,157.15,1374.08,162.18,72.98,13.28,55.94,304.38,Direct,0.5333333333333333,66.112,1069.6999999999998,71.31333333333332
Hôtel des Îles,2024-09-24,Suite,5,2,278.94,557.88,104.99,17.26,237.35,917.48,95.19,33.41,3.84,137.05,269.49,Corporate,0.4,111.576,647.99,129.598
Hôtel des Îles,2024-09-25,Single,10,3,70.44,211.32,20.79,1.57,229.44,463.12,60.24,7.83,0.42,92.87,161.36,OTA,0.3,21.131999999999998,301.76,30.176
Hôtel des Îles,2024-09-25,Double,30,17,94.16,1600.72,131.78,115.07,171.29,2018.86,242.32,35.62,38.28,51.65,367.87,Direct,0.5666666666666667,53.35733333333334,1650.9899999999998,55.032999999999994
Hôtel des Îles,2024-09-25,Deluxe,15,7,154.69,1082.83,105.52,28.19,199.3,1415.84,267.94,44.3,9.35,93.77,415.36,Direct,0.4666666666666667,72.18866666666666,1000.4799999999999,66.69866666666665
Hôtel des Îles,2024-09-25,Suite,5,2,273.65,547.3,125.01,27.63,208.96,908.9,123.36,45.68,8.25,74.93,252.22,OTA,0.4,109.46,656.68,131.33599999999998
Hôtel des Îles,2024-09-26,Single,10,4,60.42,241.68,58.81,18.63,220.6,539.72,46.93,19.23,6.9,87.15,160.21,Direct,0.4,24.168,379.51,37.951
Hôtel des Îles,2024-09-26,Double,30,14,94.62,1324.68,229.17,104.92,78.02,1736.79,301.7,97.51,36.53,39.72,475.46,OTA,0.4666666666666667,44.156,1261.33,42.044333333333334
Hôtel des Îles,2024-09-26,Deluxe,15,6,146.09,876.54,203.93,35.86,150.3,1266.63,236.44,77.49,12.21,80.97,407.11,Corporate,0.4,58.436,859.5200000000001,57.30133333333334
Hôtel des Îles,2024-09-26,Suite,5,2,263.27,526.54,75.36,22.86,107.31,732.07,125.65,19.3,4.74,58.67,208.36,OTA,0.4,105.30799999999999,523.71,104.742
Hôtel des Îles,2024-09-27,Single,10,3,75.6,226.8,15.21,0.94,156.27,399.22,52.41,5.74,0.32,92.63,151.1,OTA,0.3,22.68,248.12000000000003,24.812000000000005
Hôtel des Îles,2024-09-27,Double,30,12,100.23,1202.76,66.24,92.63,217.2,1578.83,305.98,21.98,21.74,75.35,425.05,Direct,0.4,40.092,1153.78,38.45933333333333
Hôtel des Îles,2024-09-27,Deluxe,15,7,147.55,1032.85,178.01,34.67,99.55,1345.08,210.08,71.48,7.03,33.33,321.92,Direct,0.4666666666666667,68.85666666666665,1023.1599999999999,68.21066666666665
Hôtel des Îles,2024-09-27,Suite,5,0,257.62,0.0,0.0,0.0,84.64,84.64,0.0,0.0,0.0,41.52,41.52,Direct,0.0,0.0,43.12,8.623999999999999
Hôtel des Îles,2024-09-28,Single,10,4,60.59,242.36,20.02,1.37,178.48,442.23,37.32,7.35,0.53,84.36,129.56,OTA,0.4,24.236,312.67,31.267000000000003
Hôtel des Îles,2024-09-28,Double,30,14,66.57,931.98,225.76,67.5,89.16,1314.4,149.49,60.99,13.75,29.27,253.5,OTA,0.4666666666666667,31.066,1060.9,35.36333333333334
Hôtel des Îles,2024-09-28,Deluxe,15,4,127.56,510.24,96.61,25.67,225.49,858.01,132.8,39.68,6.58,79.65,258.71,Corporate,0.26666666666666666,34.016,599.3,39.95333333333333
Hôtel des Îles,2024-09-28,Suite,5,3,236.34,709.02,83.78,52.79,221.68,1067.27,151.98,33.53,18.52,73.36,277.39,Agency,0.6,141.804,789.88,157.976
Hôtel des Îles,2024-09-29,Single,10,5,54.77,273.85,14.29,19.84,68.26,376.24,54.19,6.29,7.74,32.22,100.44,OTA,0.5,27.385,275.8,27.580000000000002
Hôtel des Îles,2024-09-29,Double,30,13,75.43,980.59,204.27,61.94,68.24,1315.04,219.81,53.42,19.2,29.51,321.94,Corporate,0.43333333333333335,32.68633333333334,993.0999999999999,33.10333333333333
Hôtel des Îles,2024-09-29,Deluxe,15,6,131.33,787.98,168.92,44.52,66.27,1067.69,128.22,75.56,12.24,27.25,243.27,Corporate,0.4,52.532000000000004,824.4200000000001,54.961333333333336
Hôtel des Îles,2024-09-29,Suite,5,4,319.01,1276.04,172.07,92.52,72.24,1612.87,285.7,43.41,27.18,22.89,379.18,Direct,0.8,255.208,1233.6899999999998,246.73799999999997
Hôtel des Îles,2024-09-30,Single,10,3,72.71,218.13,27.26,4.99,223.72,474.1,40.04,12.07,1.01,132.21,185.33,Direct,0.3,21.813,288.77,28.877
Hôtel des Îles,2024-09-30,Double,30,17,90.15,1532.55,373.73,64.13,175.88,2146.29,389.82,127.41,20.88,83.59,621.7,Agency,0.5666666666666667,51.085,1524.59,50.81966666666666
Hôtel des Îles,2024-09-30,Deluxe,15,4,110.94,443.76,38.88,16.46,120.67,619.77,105.41,10.32,6.5,71.9,194.13,OTA,0.26666666666666666,29.584,425.64,28.375999999999998
Hôtel des Îles,2024-09-30,Suite,5,2,279.68,559.36,129.88,36.81,239.96,966.01,144.79,48.4,10.44,139.13,342.76,Corporate,0.4,111.872,623.25,124.65
Hôtel des Îles,2024-10-01,Single,10,2,59.26,118.52,14.95,9.2,218.42,361.09,32.68,5.14,2.6,83.44,123.86,Direct,0.2,11.852,237.22999999999996,23.722999999999995
Hôtel des Îles,2024-10-01,Double,30,17,90.56,1539.52,215.7,15.91,240.81,2011.94,370.91,63.79,5.32,116.9,556.92,OTA,0.5666666666666667,51.31733333333333,1455.02,48.50066666666667
Hôtel des Îles,2024-10-01,Deluxe,15,4,142.3,569.2,125.47,25.13,162.19,881.99,160.23,41.49,5.7,50.06,257.48,Corporate,0.26666666666666666,37.94666666666667,624.51,41.634
Hôtel des Îles,2024-10-01,Suite,5,3,189.65,568.95,73.08,19.91,230.83,892.77,115.06,25.78,7.1,96.71,244.65,OTA,0.6,113.79,648.12,129.624
Hôtel des Îles,2024-10-02,Single,10,6,59.85,359.1,88.34,14.15,115.75,577.34,87.98,26.33,3.04,39.2,156.55,Direct,0.6,35.910000000000004,420.79,42.079
Hôtel des Îles,2024-10-02,Double,30,11,78.72,865.92,198.61,32.83,183.51,1280.87,152.27,57.29,6.83,64.35,280.74,Direct,0.36666666666666664,28.863999999999997,1000.1299999999999,33.337666666666664
Hôtel des Îles,2024-10-02,Deluxe,15,5,141.15,705.75,132.74,2.22,209.88,1050.59,172.33,35.36,0.83,120.95,329.47,Direct,0.3333333333333333,47.05,721.1199999999999,48.07466666666666
Hôtel des Îles,2024-10-02,Suite,5,2,236.97,473.94,58.81,18.37,173.65,724.77,97.32,20.14,6.42,54.01,177.89,Direct,0.4,94.788,546.88,109.376
Hôtel des Îles,2024-10-03,Single,10,5,60.29,301.45,42.05,12.84,98.49,454.83,57.39,13.69,2.62,39.06,112.76,Direct,0.5,30.145,342.07,34.207
Hôtel des Îles,2024-10-03,Double,30,12,100.58,1206.96,81.33,51.86,167.37,1507.52,316.0,27.35,11.7,64.46,419.51,OTA,0.4,40.232,1088.01,36.267
Hôtel des Îles,2024-10-03,Deluxe,15,7,140.55,983.85,95.87,8.01,80.57,1168.3,183.88,27.05,1.9,31.06,243.89,Direct,0.4666666666666667,65.59,924.41,61.62733333333333
Hôtel des Îles,2024-10-03,Suite,5,4,257.99,1031.96,74.72,32.85,243.89,1383.42,288.77,30.89,8.26,85.67,413.59,OTA,0.8,206.392,969.8300000000002,193.96600000000004
Hôtel des Îles,2024-10-04,Single,10,7,80.43,563.01,49.21,14.58,135.09,761.89,127.32,14.69,3.25,65.27,210.53,Direct,0.7,56.301,551.36,55.136
Hôtel des Îles,2024-10-04,Double,30,14,75.47,1056.58,123.96,11.36,62.67,1254.57,315.38,38.98,4.11,23.59,382.06,OTA,0.4666666666666667,35.21933333333333,872.51,29.083666666666666
Hôtel des Îles,2024-10-04,Deluxe,15,8,104.6,836.8,197.41,55.6,243.01,1332.82,141.12,78.21,21.55,86.12,327.0,Direct,0.5333333333333333,55.78666666666666,1005.8199999999999,67.05466666666666
Hôtel des Îles,2024-10-04,Suite,5,3,243.52,730.56,65.99,9.56,82.85,888.96,198.85,25.28,2.91,33.77,260.81,Corporate,0.6,146.112,628.1500000000001,125.63000000000002
Hôtel des Îles,2024-10-05,Single,10,4,57.5,230.0,25.36,13.76,150.54,419.66,42.51,10.9,3.81,69.71,126.93,Agency,0.4,23.0,292.73,29.273000000000003
Hôtel des Îles,2024-10-05,Double,30,14,103.73,1452.22,252.71,61.98,228.78,1995.69,389.62,70.84,16.26,85.69,562.41,OTA,0.4666666666666667,48.407333333333334,1433.2800000000002,47.776
Hôtel des Îles,2024-10-05,Deluxe,15,3,133.05,399.15,85.52,3.53,219.29,707.49,67.51,28.18,1.27,75.65,172.61,Direct,0.2,26.61,534.88,35.65866666666667
Hôtel des Îles,2024-10-05,Suite,5,3,335.07,1005.21,100.88,27.8,86.32,1220.21,287.76,36.99,7.79,37.86,370.4,Agency,0.6,201.042,849.8100000000001,169.96200000000002
Hôtel des Îles,2024-10-06,Single,10,3,61.81,185.43,41.62,13.83,163.03,403.91,47.19,18.08,4.72,56.37,126.36,OTA,0.3,18.543,277.55,27.755000000000003
Hôtel des Îles,2024-10-06,Double,30,14,83.87,1174.18,289.99,78.8,74.93,1617.9,338.31,122.95,23.94,35.77,520.97,OTA,0.4666666666666667,39.13933333333333,1096.93,36.56433333333334
Hôtel des Îles,2024-10-06,Deluxe,15,4,157.04,628.16,146.97,17.4,119.39,911.92,163.71,50.03,4.26,52.02,270.02,Direct,0.26666666666666666,41.87733333333333,641.9,42.79333333333333
Hôtel des Îles,2024-10-06,Suite,5,1,287.85,287.85,47.82,14.56,52.62,402.85,71.83,13.66,5.71,18.13,109.33,OTA,0.2,57.57000000000001,293.52000000000004,58.70400000000001
Hôtel des Îles,2024-10-07,Single,10,2,60.01,120.02,24.0,2.02,229.61,375.65,21.7,6.92,0.42,101.4,130.44,OTA,0.2,12.001999999999999,245.20999999999998,24.520999999999997
Hôtel des Îles,2024-10-07,Double,30,9,108.05,972.45,126.57,43.54,81.05,1223.61,172.4,53.46,16.95,33.39,276.2,Direct,0.3,32.415,947.4099999999999,31.58033333333333
Hôtel des Îles,2024-10-07,Deluxe,15,7,149.71,1047.97,190.51,2.27,94.39,1335.14,193.52,73.23,0.46,31.27,298.48,Corporate,0.4666666666666667,69.86466666666666,1036.66,69.11066666666667
Hôtel des Îles,2024-10-07,Suite,5,1,245.01,245.01,47.64,16.77,216.04,525.46,51.35,18.28,4.04,83.81,157.48,Corporate,0.2,49.001999999999995,367.98,73.596
Hôtel des Îles,2024-10-08,Single,10,1,43.3,43.3,5.45,2.04,103.61,154.4,10.55,1.81,0.63,44.64,57.63,Direct,0.1,4.33,96.77000000000001,9.677000000000001
Hôtel des Îles,2024-10-08,Double,30,18,94.79,1706.22,390.57,109.18,135.04,2341.01,261.68,118.63,33.66,66.18,480.15,Direct,0.6,56.874,1860.8600000000001,62.02866666666667
Hôtel des Îles,2024-10-08,Deluxe,15,5,107.41,537.05,86.38,27.99,215.95,867.37,97.19,21.78,6.36,123.09,248.42,Corporate,0.3333333333333333,35.80333333333333,618.95,41.263333333333335
Hôtel des Îles,2024-10-08,Suite,5,3,208.82,626.46,96.34,2.35,83.26,808.41,163.32,25.68,0.75,31.11,220.86,OTA,0.6,125.292,587.55,117.50999999999999
Hôtel des Îles,2024-10-09,Single,10,4,73.41,293.64,42.64,15.59,237.37,589.24,76.31,12.49,3.22,89.89,181.91,OTA,0.4,29.363999999999997,407.33000000000004,40.733000000000004
Hôtel des Îles,2024-10-09,Double,30,9,88.85,799.65,57.03,4.81,195.64,1057.13,179.38,22.11,1.38,73.15,276.02,Corporate,0.3,26.654999999999998,781.1100000000001,26.037000000000003
Hôtel des Îles,2024-10-09,Deluxe,15,8,104.74,837.92,57.24,61.49,77.36,1034.01,245.12,19.42,14.57,35.78,314.89,Corporate,0.5333333333333333,55.86133333333333,719.12,47.94133333333333
Hôtel des Îles,2024-10-09,Suite,5,3,278.37,835.11,83.46,32.7,94.24,1045.51,248.99,36.62,6.8,48.22,340.63,Agency,0.6,167.022,704.88,140.976
Hôtel des Îles,2024-10-10,Single,10,3,68.18,204.54,49.95,15.45,144.84,414.78,57.13,20.92,4.08,79.47,161.6,Direct,0.3,20.454,253.17999999999998,25.317999999999998
Hôtel des Îles,2024-10-10,Double,30,14,86.29,1208.06,142.52,70.04,63.07,1483.69,238.34,51.01,25.08,24.95,339.38,OTA,0.4666666666666667,40.26866666666667,1144.31,38.14366666666667
Hôtel des Îles,2024-10-10,Deluxe,15,9,154.27,1388.43,291.23,110.84,120.14,1910.64,368.04,96.22,32.81,58.66,555.73,Corporate,0.6,92.562,1354.91,90.32733333333334
Hôtel des Îles,2024-10-10,Suite,5,5,239.09,1195.45,116.86,10.57,120.92,1443.8,230.82,36.14,2.61,37.8,307.37,Direct,1.0,239.09,1136.4299999999998,227.28599999999997
Hôtel des Îles,2024-10-11,Single,10,8,40.66,325.28,78.06,20.46,67.88,491.68,69.17,33.24,7.96,29.88,140.25,OTA,0.8,32.528,351.43,35.143
Hôtel des Îles,2024-10-11,Double,30,11,95.91,1055.01,101.42,14.9,94.1,1265.43,187.76,41.17,4.02,29.86,262.81,Agency,0.36666666666666664,35.167,1002.6200000000001,33.42066666666667
Hôtel des Îles,2024-10-11,Deluxe,15,9,155.92,1403.28,113.36,91.59,94.89,1703.12,257.6,40.51,29.18,44.98,372.27,Direct,0.6,93.55199999999999,1330.85,88.72333333333333
Hôtel des Îles,2024-10-11,Suite,5,4,273.38,1093.52,197.98,48.19,67.4,1407.09,231.03,64.25,12.14,34.85,342.27,OTA,0.8,218.704,1064.82,212.964
Hôtel des Îles,2024-10-12,Single,10,2,66.95,133.9,22.56,8.83,119.56,284.85,33.7,8.19,2.24,67.38,111.51,Corporate,0.2,13.39,173.34000000000003,17.334000000000003
